source,basis,month,dimension,value,records,domain_days,domains_peak,measured_days
afrinic,reverse,2013-07,rr_type,DS,49,13,13,1
afrinic,reverse,2013-07,rr_type,NS,22906,22906,22906,1
afrinic,reverse,2013-07,rr_type,_total,22955,22906,22906,1
afrinic,reverse,2013-07,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2013-07,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-07,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2013-08,algorithm_ds,5,1,1,1,1
afrinic,reverse,2013-08,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-08,algorithm_ds,_total,49,13,13,1
afrinic,reverse,2013-08,all,all,23295,23246,23246,1
afrinic,reverse,2013-08,digest_type_ds,1,25,13,13,1
afrinic,reverse,2013-08,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-08,digest_type_ds,_total,49,13,13,1
afrinic,reverse,2013-08,rr_type,DS,49,13,13,1
afrinic,reverse,2013-08,rr_type,NS,23246,23246,23246,1
afrinic,reverse,2013-08,rr_type,_total,23295,23246,23246,1
afrinic,reverse,2013-08,sha1_signing_ds,_total,49,13,13,1
afrinic,reverse,2013-08,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-08,sha1_signing_ds,sha1,1,1,1,1
afrinic,reverse,2013-09,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-09,algorithm_ds,_total,48,12,12,1
afrinic,reverse,2013-09,all,all,23445,23397,23397,1
afrinic,reverse,2013-09,digest_type_ds,1,24,12,12,1
afrinic,reverse,2013-09,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-09,digest_type_ds,_total,48,12,12,1
afrinic,reverse,2013-09,rr_type,DS,48,12,12,1
afrinic,reverse,2013-09,rr_type,NS,23397,23397,23397,1
afrinic,reverse,2013-09,rr_type,_total,23445,23397,23397,1
afrinic,reverse,2013-09,sha1_signing_ds,_total,48,12,12,1
afrinic,reverse,2013-09,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-10,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-10,algorithm_ds,_total,48,12,12,1
afrinic,reverse,2013-10,all,all,23151,23103,23103,1
afrinic,reverse,2013-10,digest_type_ds,1,24,12,12,1
afrinic,reverse,2013-10,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-10,digest_type_ds,_total,48,12,12,1
afrinic,reverse,2013-10,rr_type,DS,48,12,12,1
afrinic,reverse,2013-10,rr_type,NS,23103,23103,23103,1
afrinic,reverse,2013-10,rr_type,_total,23151,23103,23103,1
afrinic,reverse,2013-10,sha1_signing_ds,_total,48,12,12,1
afrinic,reverse,2013-10,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2013-11,algorithm_ds,8,66,21,21,1
afrinic,reverse,2013-11,algorithm_ds,_total,66,21,21,1
afrinic,reverse,2013-11,all,all,23658,23592,23592,1
afrinic,reverse,2013-11,digest_type_ds,1,33,21,21,1
afrinic,reverse,2013-11,digest_type_ds,2,33,21,21,1
afrinic,reverse,2013-11,digest_type_ds,_total,66,21,21,1
afrinic,reverse,2013-11,rr_type,DS,66,21,21,1
afrinic,reverse,2013-11,rr_type,NS,23592,23592,23592,1
afrinic,reverse,2013-11,rr_type,_total,23658,23592,23592,1
afrinic,reverse,2013-11,sha1_signing_ds,_total,66,21,21,1
afrinic,reverse,2013-11,sha1_signing_ds,other,66,21,21,1
afrinic,reverse,2013-12,algorithm_ds,8,48,12,12,1
afrinic,reverse,2013-12,algorithm_ds,_total,48,12,12,1
afrinic,reverse,2013-12,all,all,23738,23690,23690,1
afrinic,reverse,2013-12,digest_type_ds,1,24,12,12,1
afrinic,reverse,2013-12,digest_type_ds,2,24,12,12,1
afrinic,reverse,2013-12,digest_type_ds,_total,48,12,12,1
afrinic,reverse,2013-12,rr_type,DS,48,12,12,1
afrinic,reverse,2013-12,rr_type,NS,23690,23690,23690,1
afrinic,reverse,2013-12,rr_type,_total,23738,23690,23690,1
afrinic,reverse,2013-12,sha1_signing_ds,_total,48,12,12,1
afrinic,reverse,2013-12,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2014-01,algorithm_ds,8,48,12,12,1
afrinic,reverse,2014-01,algorithm_ds,_total,48,12,12,1
afrinic,reverse,2014-01,all,all,23929,23881,23881,1
afrinic,reverse,2014-01,digest_type_ds,1,24,12,12,1
afrinic,reverse,2014-01,digest_type_ds,2,24,12,12,1
afrinic,reverse,2014-01,digest_type_ds,_total,48,12,12,1
afrinic,reverse,2014-01,rr_type,DS,48,12,12,1
afrinic,reverse,2014-01,rr_type,NS,23881,23881,23881,1
afrinic,reverse,2014-01,rr_type,_total,23929,23881,23881,1
afrinic,reverse,2014-01,sha1_signing_ds,_total,48,12,12,1
afrinic,reverse,2014-01,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2014-02,algorithm_ds,8,48,12,12,1
afrinic,reverse,2014-02,algorithm_ds,_total,48,12,12,1
afrinic,reverse,2014-02,all,all,24106,24058,24058,1
afrinic,reverse,2014-02,digest_type_ds,1,24,12,12,1
afrinic,reverse,2014-02,digest_type_ds,2,24,12,12,1
afrinic,reverse,2014-02,digest_type_ds,_total,48,12,12,1
afrinic,reverse,2014-02,rr_type,DS,48,12,12,1
afrinic,reverse,2014-02,rr_type,NS,24058,24058,24058,1
afrinic,reverse,2014-02,rr_type,_total,24106,24058,24058,1
afrinic,reverse,2014-02,sha1_signing_ds,_total,48,12,12,1
afrinic,reverse,2014-02,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2014-03,algorithm_ds,8,48,12,12,1
afrinic,reverse,2014-03,algorithm_ds,_total,48,12,12,1
afrinic,reverse,2014-03,all,all,24237,24189,24189,1
afrinic,reverse,2014-03,digest_type_ds,1,24,12,12,1
afrinic,reverse,2014-03,digest_type_ds,2,24,12,12,1
afrinic,reverse,2014-03,digest_type_ds,_total,48,12,12,1
afrinic,reverse,2014-03,rr_type,DS,48,12,12,1
afrinic,reverse,2014-03,rr_type,NS,24189,24189,24189,1
afrinic,reverse,2014-03,rr_type,_total,24237,24189,24189,1
afrinic,reverse,2014-03,sha1_signing_ds,_total,48,12,12,1
afrinic,reverse,2014-03,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2014-04,algorithm_ds,8,48,12,12,1
afrinic,reverse,2014-04,algorithm_ds,_total,48,12,12,1
afrinic,reverse,2014-04,all,all,27302,27254,27254,1
afrinic,reverse,2014-04,digest_type_ds,1,24,12,12,1
afrinic,reverse,2014-04,digest_type_ds,2,24,12,12,1
afrinic,reverse,2014-04,digest_type_ds,_total,48,12,12,1
afrinic,reverse,2014-04,rr_type,DS,48,12,12,1
afrinic,reverse,2014-04,rr_type,NS,27254,27254,27254,1
afrinic,reverse,2014-04,rr_type,_total,27302,27254,27254,1
afrinic,reverse,2014-04,sha1_signing_ds,_total,48,12,12,1
afrinic,reverse,2014-04,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2014-05,algorithm_ds,8,48,12,12,1
afrinic,reverse,2014-05,algorithm_ds,_total,48,12,12,1
afrinic,reverse,2014-05,all,all,27450,27402,27402,1
afrinic,reverse,2014-05,digest_type_ds,1,24,12,12,1
afrinic,reverse,2014-05,digest_type_ds,2,24,12,12,1
afrinic,reverse,2014-05,digest_type_ds,_total,48,12,12,1
afrinic,reverse,2014-05,rr_type,DS,48,12,12,1
afrinic,reverse,2014-05,rr_type,NS,27402,27402,27402,1
afrinic,reverse,2014-05,rr_type,_total,27450,27402,27402,1
afrinic,reverse,2014-05,sha1_signing_ds,_total,48,12,12,1
afrinic,reverse,2014-05,sha1_signing_ds,other,48,12,12,1
afrinic,reverse,2014-06,algorithm_ds,8,64,20,20,1
afrinic,reverse,2014-06,algorithm_ds,_total,64,20,20,1
afrinic,reverse,2014-06,all,all,27512,27448,27448,1
afrinic,reverse,2014-06,digest_type_ds,1,32,20,20,1
afrinic,reverse,2014-06,digest_type_ds,2,32,20,20,1
afrinic,reverse,2014-06,digest_type_ds,_total,64,20,20,1
afrinic,reverse,2014-06,rr_type,DS,64,20,20,1
afrinic,reverse,2014-06,rr_type,NS,27448,27448,27448,1
afrinic,reverse,2014-06,rr_type,_total,27512,27448,27448,1
afrinic,reverse,2014-06,sha1_signing_ds,_total,64,20,20,1
afrinic,reverse,2014-06,sha1_signing_ds,other,64,20,20,1
afrinic,reverse,2014-07,algorithm_ds,8,64,20,20,1
afrinic,reverse,2014-07,algorithm_ds,_total,64,20,20,1
afrinic,reverse,2014-07,all,all,27693,27629,27629,1
afrinic,reverse,2014-07,digest_type_ds,1,32,20,20,1
afrinic,reverse,2014-07,digest_type_ds,2,32,20,20,1
afrinic,reverse,2014-07,digest_type_ds,_total,64,20,20,1
afrinic,reverse,2014-07,rr_type,DS,64,20,20,1
afrinic,reverse,2014-07,rr_type,NS,27629,27629,27629,1
afrinic,reverse,2014-07,rr_type,_total,27693,27629,27629,1
afrinic,reverse,2014-07,sha1_signing_ds,_total,64,20,20,1
afrinic,reverse,2014-07,sha1_signing_ds,other,64,20,20,1
afrinic,reverse,2014-08,algorithm_ds,8,64,20,20,1
afrinic,reverse,2014-08,algorithm_ds,_total,64,20,20,1
afrinic,reverse,2014-08,all,all,27688,27624,27624,1
afrinic,reverse,2014-08,digest_type_ds,1,32,20,20,1
afrinic,reverse,2014-08,digest_type_ds,2,32,20,20,1
afrinic,reverse,2014-08,digest_type_ds,_total,64,20,20,1
