project,version,released,month,in_corpus_span,changes_in_window,window_months,corpus_median_window
kresd,1.2.3,2017-02-23,2017-02,True,144,3,229
kresd,1.2.4,2017-03-09,2017-03,True,153,3,229
kresd,1.2.5,2017-04-05,2017-04,True,238,3,229
kresd,1.2.6,2017-04-24,2017-04,True,238,3,229
kresd,1.3.0,2017-06-13,2017-06,True,199,3,229
kresd,1.3.1,2017-06-23,2017-06,True,199,3,229
kresd,1.3.2,2017-07-28,2017-07,True,312,3,229
kresd,1.3.3,2017-08-09,2017-08,True,224,3,229
kresd,1.4.0,2017-09-21,2017-09,True,211,3,229
kresd,1.5.0,2017-11-02,2017-11,True,29,3,229
kresd,1.5.1,2017-12-12,2017-12,True,51,3,229
kresd,1.5.2,2018-01-22,2018-01,True,70,3,229
kresd,1.5.3,2018-01-23,2018-01,True,70,3,229
kresd,2.0.0,2018-01-31,2018-01,True,70,3,229
kresd,2.1.0,2018-02-16,2018-02,True,66,3,229
kresd,2.1.1,2018-02-23,2018-02,True,66,3,229
kresd,2.2.0,2018-03-28,2018-03,True,73,3,229
kresd,2.3.0,2018-04-23,2018-04,True,180,3,229
kresd,2.4.0,2018-07-03,2018-07,True,118,3,229
kresd,2.4.1,2018-08-02,2018-08,True,76,3,229
kresd,3.0.0,2018-08-17,2018-08,True,76,3,229
kresd,3.1.0,2018-11-02,2018-11,True,612,3,229
kresd,3.2.0,2018-12-17,2018-12,True,804,3,229
kresd,3.2.1,2019-01-10,2019-01,True,574,3,229
kresd,4.0.0,2019-04-18,2019-04,True,463,3,229
kresd,4.1.0,2019-07-10,2019-07,True,458,3,229
kresd,4.2.0,2019-08-05,2019-08,True,146,3,229
kresd,4.2.1,2019-09-26,2019-09,True,102,3,229
kresd,4.2.2,2019-10-07,2019-10,True,125,3,229
kresd,4.3.0,2019-12-04,2019-12,True,538,3,229
kresd,5.0.0,2020-01-27,2020-01,True,505,3,229
kresd,5.0.1,2020-02-05,2020-02,True,113,3,229
kresd,5.1.0,2020-04-29,2020-04,True,339,3,229
kresd,5.1.1,2020-05-19,2020-05,True,361,3,229
kresd,5.1.2,2020-07-01,2020-07,True,86,3,229
kresd,5.1.3,2020-09-08,2020-09,True,176,3,229
kresd,5.2.0,2020-11-11,2020-11,True,371,3,229
