n,rfc,basis,source,start,end,delta,level_before,level_after,share_before_pct,share_after_pct,months_after_rfc,nearest_validator_limit,nearest_cve,split_new_signings_at_most,split_rollovers_at_least,nearest_signer_release_what,nearest_signer_release_date,nearest_signer_release_lag_months,nearest_signer_release_detail,nearest_default_change_what,nearest_default_change_date,nearest_default_change_lag_months,nearest_default_change_detail,nearest_any_release_what,nearest_any_release_date,nearest_any_release_lag_months,nearest_cve_what,nearest_cve_date,nearest_cve_lag_months,nearest_default_change,nearest_validator_limit_what,nearest_validator_limit_date,nearest_validator_limit_lag_months,nearest_validator_limit_detail
21,RFC 5702,reverse,ripe,2012-11,2013-01,149,105,254,15.625,30.13,37,,,,,OpenDNSSEC 1.2.0,2011-03-18,20,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,20.0,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.3.11,2012-11-13,0,,,,,,,,
22,RFC 5702,reverse,ripe,2014-02,2014-02,64,323,387,29.471,33.478,52,,,,,OpenDNSSEC 1.2.0,2011-03-18,35,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,35.0,default signing algorithm -> 8 (RSASHA256),Knot DNS 1.4.3,2014-02-12,0,,,,,,,,
23,RFC 5702,reverse,ripe,2014-10,2014-11,301,470,771,36.979,48.188,60,,,,,OpenDNSSEC 1.2.0,2011-03-18,43,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,43.0,default signing algorithm -> 8 (RSASHA256),Knot DNS 1.6.0,2014-10-23,0,,,,,,,,
24,RFC 5702,reverse,ripe,2015-07,2015-07,86,825,911,49.313,50.471,69,,,,,Knot DNS 2.0.0,2015-06-26,1,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,1.0,default signing algorithm -> RSASHA256,NSD 4.1.3,2015-06-04,1,,,,,,,,
1,RFC 6605,forward,ch,2021-06,2021-11,591333,128023,719356,83.029,95.552,110,,,591333.0,0.0,BIND 9 9.16.0,2020-02-12,16,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.16.0,2020-02-12,16.0,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,PowerDNS Rec 4.5.2,2021-06-07,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,41.0,,,,,
2,RFC 6605,forward,ee,2019-08,2019-09,1637,3259,4896,71.863,79.249,88,,,1637.0,0.0,PowerDNS Auth 4.0.0,2016-07-08,37,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,37.0,default ZSK algorithm -> ECDSA P-256,Knot Resolver 4.2.0,2019-08-05,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,19.0,,,,,
3,RFC 6605,forward,li,2021-06,2021-11,8047,1164,9211,50.499,87.824,110,,,8047.0,0.0,BIND 9 9.16.0,2020-02-12,16,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.16.0,2020-02-12,16.0,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,PowerDNS Rec 4.5.2,2021-06-07,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,41.0,,,,,
4,RFC 6605,forward,li,2022-11,2022-12,5168,12350,17518,83.525,87.673,127,,,5168.0,0.0,BIND 9 9.16.0,2020-02-12,33,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,BIND 9 9.16.0,2020-02-12,33.0,built-in dnssec-policy 'default' signs with one ECDSAP256SHA256 CSK,NSD 4.6.1,2022-11-01,0,CVE-2022-38177 (BIND 9),2022-09-21,2.0,,,,,
5,RFC 6605,forward,nu,2016-10,2016-10,857,43,900,0.049,1.024,54,,,0.0,857.0,PowerDNS Auth 4.0.0,2016-07-08,3,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,3.0,default ZSK algorithm -> ECDSA P-256,Knot DNS 2.3.1,2016-10-10,0,,,,,,,,
6,RFC 6605,forward,nu,2019-01,2019-01,18247,2844,21091,2.389,18.461,81,,,0.0,18247.0,PowerDNS Auth 4.0.0,2016-07-08,30,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.0.0,2016-07-08,30.0,default ZSK algorithm -> ECDSA P-256,PowerDNS Auth 4.1.6,2019-01-04,0,CVE-2017-15094 (PowerDNS Rec),2018-01-23,12.0,,,,,
